actuallyadditions:advanced_coil	Advanced Coil
actuallyadditions:advanced_leaf_blower	Advanced Leaf Blower
actuallyadditions:atomic_reconstructor	Atomic Reconstructor
actuallyadditions:basic_coil	Basic Coil
actuallyadditions:bats_wing	Bat's Wing
actuallyadditions:battery_box	Battery Box
actuallyadditions:bio_reactor	Bio Reactor
actuallyadditions:black_lotus	Black Lotus
actuallyadditions:black_quartz	Black Quartz
actuallyadditions:black_quartz_block	Block of Black Quartz
actuallyadditions:black_quartz_brick_block	Black Quartz Bricks
actuallyadditions:black_quartz_brick_slab	Black Quartz Brick Slab
actuallyadditions:black_quartz_brick_stair	Black Quartz Brick Stairs
actuallyadditions:black_quartz_brick_wall	Black Quartz Brick Wall
actuallyadditions:black_quartz_ore	Black Quartz Ore
actuallyadditions:black_quartz_pillar_block	Pillar of Black Quartz
actuallyadditions:black_quartz_pillar_slab	Black Quartz Pillar Slab
actuallyadditions:black_quartz_pillar_stair	Black Quartz Pillar Stairs
actuallyadditions:black_quartz_pillar_wall	Black Quartz Pillar Wall
actuallyadditions:black_quartz_slab	Black Quartz Slab
actuallyadditions:black_quartz_stair	Black Quartz Stairs
actuallyadditions:black_quartz_wall	Black Quartz Wall
actuallyadditions:book_pattern	Banner Pattern
actuallyadditions:booklet	Actually Additions Manual (WIP)
actuallyadditions:booklet_stand	Wall-Mount Manual (WIP)
actuallyadditions:breaker	Auto-Breaker
actuallyadditions:canola	Canola
actuallyadditions:canola_oil	Canola Oil
actuallyadditions:canola_oil_bucket	Canola Oil Bucket
actuallyadditions:canola_press	Canola Press
actuallyadditions:canola_seeds	Canola Seeds
actuallyadditions:chiseled_black_quartz_block	Chiseled Black Quartz
actuallyadditions:chiseled_black_quartz_slab	Chiseled Black Quartz Slab
actuallyadditions:chiseled_black_quartz_stair	Chiseled Black Quartz Stairs
actuallyadditions:chiseled_black_quartz_wall	Chiseled Black Quartz Wall
actuallyadditions:coal_generator	Coal Generator
actuallyadditions:coffee	Coffee Plant
actuallyadditions:coffee_beans	Coffee Beans
actuallyadditions:coffee_cup	Cup with Coffee
actuallyadditions:coffee_machine	Coffee Maker
actuallyadditions:coffee_seeds	Coffee Seeds
actuallyadditions:crafter_on_a_stick	Crafting Table On A Stick
actuallyadditions:crate_keeper	Storage Crate Keeper (WIP)
actuallyadditions:crate_large	Large Storage Crate (WIP)
actuallyadditions:crate_medium	Medium Storage Crate (WIP)
actuallyadditions:crate_small	Small Storage Crate (WIP)
actuallyadditions:crusher	Crusher
actuallyadditions:crusher_double	Double Crusher
actuallyadditions:crystallized_canola_seed	Crystallized Canola Seeds
actuallyadditions:crystallized_oil	Crystallized Oil
actuallyadditions:crystallized_oil_bucket	Crystallized Oil Bucket
actuallyadditions:diamatine_crystal	Diamatine Crystal
actuallyadditions:diamatine_crystal_block	Diamatine Crystal Block
actuallyadditions:diamatine_crystal_cluster	Light Blue Crystal Cluster
actuallyadditions:diamatine_crystal_shard	Light Blue Crystal Shard
actuallyadditions:diamond_aiot	Diamond AIOT
actuallyadditions:display_stand	Display Stand
actuallyadditions:distributor_item	Item Distributor (WIP)
actuallyadditions:double_battery	Double Battery
actuallyadditions:dough	Dough (WIP)
actuallyadditions:drill_black	Black Drill
actuallyadditions:drill_blue	Blue Drill
actuallyadditions:drill_brown	Brown Drill
actuallyadditions:drill_core	Drill Core
actuallyadditions:drill_cyan	Cyan Drill
actuallyadditions:drill_gray	Gray Drill
actuallyadditions:drill_green	Green Drill
actuallyadditions:drill_light_blue	Light Blue Drill
actuallyadditions:drill_light_gray	Light Gray Drill
actuallyadditions:drill_lime	Lime Drill
actuallyadditions:drill_magenta	Magenta Drill
actuallyadditions:drill_orange	Orange Drill
actuallyadditions:drill_pattern	Banner Pattern
actuallyadditions:drill_pink	Pink Drill
actuallyadditions:drill_purple	Purple Drill
actuallyadditions:drill_red	Red Drill
actuallyadditions:drill_upgrade_block_placing	Drill Block Placing Augment
actuallyadditions:drill_upgrade_five_by_five	Drill Area Augment II
actuallyadditions:drill_upgrade_fortune	Drill Fortune Augment I
actuallyadditions:drill_upgrade_fortune_ii	Drill Fortune Augment II (Gives Fortune III!)
actuallyadditions:drill_upgrade_silk_touch	Drill Silk Touch Augment
actuallyadditions:drill_upgrade_speed	Drill Speed Augment I
actuallyadditions:drill_upgrade_speed_ii	Drill Speed Augment II
